,Questions,id,query
34,Give me all the patients whose information are received on 02/27/2022. ,1100034,"POST_scripts/1{""script"":{""lang"":""mustache"",""source"":{""track_total_hits"":""true"",""query"":{""term"":{""{{field_1}}"":""{{value_1}}""}}},""params"":{""field_1"":'DATA.RECVDATE',""value_1"":'02/27/2022'"
35,Give me all the patients whose information are received on 04/26/2022. ,1100035,"POST_scripts/1{""script"":{""lang"":""mustache"",""source"":{""track_total_hits"":""true"",""query"":{""term"":{""{{field_1}}"":""{{value_1}}""}}},""params"":{""field_1"":'DATA.RECVDATE',""value_1"":'04/26/2022'"
36,Give me all the patients whose information are received on 04/02/2022. ,1100036,"POST_scripts/1{""script"":{""lang"":""mustache"",""source"":{""track_total_hits"":""true"",""query"":{""term"":{""{{field_1}}"":""{{value_1}}""}}},""params"":{""field_1"":'DATA.RECVDATE',""value_1"":'04/02/2022'"
37,Give me all the patients whose information are received on 04/22/2022. ,1100037,"POST_scripts/1{""script"":{""lang"":""mustache"",""source"":{""track_total_hits"":""true"",""query"":{""term"":{""{{field_1}}"":""{{value_1}}""}}},""params"":{""field_1"":'DATA.RECVDATE',""value_1"":'04/22/2022'"
38,Give me all the patients whose information are received on 01/08/2022. ,1100038,"POST_scripts/1{""script"":{""lang"":""mustache"",""source"":{""track_total_hits"":""true"",""query"":{""term"":{""{{field_1}}"":""{{value_1}}""}}},""params"":{""field_1"":'DATA.RECVDATE',""value_1"":'01/08/2022'"
39,Give me all the patients whose information are received on 02/10/2022. ,1100039,"POST_scripts/1{""script"":{""lang"":""mustache"",""source"":{""track_total_hits"":""true"",""query"":{""term"":{""{{field_1}}"":""{{value_1}}""}}},""params"":{""field_1"":'DATA.RECVDATE',""value_1"":'02/10/2022'"
40,Give me all the patients whose information are received on 05/23/2022. ,1100040,"POST_scripts/1{""script"":{""lang"":""mustache"",""source"":{""track_total_hits"":""true"",""query"":{""term"":{""{{field_1}}"":""{{value_1}}""}}},""params"":{""field_1"":'DATA.RECVDATE',""value_1"":'05/23/2022'"
41,Give me all the patients whose information are received on 01/18/2022. ,1100041,"POST_scripts/1{""script"":{""lang"":""mustache"",""source"":{""track_total_hits"":""true"",""query"":{""term"":{""{{field_1}}"":""{{value_1}}""}}},""params"":{""field_1"":'DATA.RECVDATE',""value_1"":'01/18/2022'"
42,Give me all the patients whose information are received on 01/20/2022. ,1100042,"POST_scripts/1{""script"":{""lang"":""mustache"",""source"":{""track_total_hits"":""true"",""query"":{""term"":{""{{field_1}}"":""{{value_1}}""}}},""params"":{""field_1"":'DATA.RECVDATE',""value_1"":'01/20/2022'"
43,Give me all the patients whose information are received on 02/21/2022. ,1100043,"POST_scripts/1{""script"":{""lang"":""mustache"",""source"":{""track_total_hits"":""true"",""query"":{""term"":{""{{field_1}}"":""{{value_1}}""}}},""params"":{""field_1"":'DATA.RECVDATE',""value_1"":'02/21/2022'"
44,Give me all the patients whose information are received on 02/08/2022. ,1100044,"POST_scripts/1{""script"":{""lang"":""mustache"",""source"":{""track_total_hits"":""true"",""query"":{""term"":{""{{field_1}}"":""{{value_1}}""}}},""params"":{""field_1"":'DATA.RECVDATE',""value_1"":'02/08/2022'"
45,Give me all the patients whose information are received on 01/05/2022. ,1100045,"POST_scripts/1{""script"":{""lang"":""mustache"",""source"":{""track_total_hits"":""true"",""query"":{""term"":{""{{field_1}}"":""{{value_1}}""}}},""params"":{""field_1"":'DATA.RECVDATE',""value_1"":'01/05/2022'"
46,Give me all the patients whose information are received on 04/05/2022. ,1100046,"POST_scripts/1{""script"":{""lang"":""mustache"",""source"":{""track_total_hits"":""true"",""query"":{""term"":{""{{field_1}}"":""{{value_1}}""}}},""params"":{""field_1"":'DATA.RECVDATE',""value_1"":'04/05/2022'"
47,Give me all the patients whose information are received on 01/14/2022. ,1100047,"POST_scripts/1{""script"":{""lang"":""mustache"",""source"":{""track_total_hits"":""true"",""query"":{""term"":{""{{field_1}}"":""{{value_1}}""}}},""params"":{""field_1"":'DATA.RECVDATE',""value_1"":'01/14/2022'"
48,Give me all the patients whose information are received on 04/03/2022. ,1100048,"POST_scripts/1{""script"":{""lang"":""mustache"",""source"":{""track_total_hits"":""true"",""query"":{""term"":{""{{field_1}}"":""{{value_1}}""}}},""params"":{""field_1"":'DATA.RECVDATE',""value_1"":'04/03/2022'"
49,Give me all the patients whose information are received on 03/11/2022. ,1100049,"POST_scripts/1{""script"":{""lang"":""mustache"",""source"":{""track_total_hits"":""true"",""query"":{""term"":{""{{field_1}}"":""{{value_1}}""}}},""params"":{""field_1"":'DATA.RECVDATE',""value_1"":'03/11/2022'"
50,Give me all the patients whose information are received on 02/09/2022. ,1100050,"POST_scripts/1{""script"":{""lang"":""mustache"",""source"":{""track_total_hits"":""true"",""query"":{""term"":{""{{field_1}}"":""{{value_1}}""}}},""params"":{""field_1"":'DATA.RECVDATE',""value_1"":'02/09/2022'"
51,Give me all the patients whose information are received on 02/16/2022. ,1100051,"POST_scripts/1{""script"":{""lang"":""mustache"",""source"":{""track_total_hits"":""true"",""query"":{""term"":{""{{field_1}}"":""{{value_1}}""}}},""params"":{""field_1"":'DATA.RECVDATE',""value_1"":'02/16/2022'"
52,Give me all the patients whose information are received on 01/31/2022. ,1100052,"POST_scripts/1{""script"":{""lang"":""mustache"",""source"":{""track_total_hits"":""true"",""query"":{""term"":{""{{field_1}}"":""{{value_1}}""}}},""params"":{""field_1"":'DATA.RECVDATE',""value_1"":'01/31/2022'"
53,Give me all the patients whose information are received on 04/04/2022. ,1100053,"POST_scripts/1{""script"":{""lang"":""mustache"",""source"":{""track_total_hits"":""true"",""query"":{""term"":{""{{field_1}}"":""{{value_1}}""}}},""params"":{""field_1"":'DATA.RECVDATE',""value_1"":'04/04/2022'"
54,Give me all the patients whose information are received on 05/10/2022. ,1100054,"POST_scripts/1{""script"":{""lang"":""mustache"",""source"":{""track_total_hits"":""true"",""query"":{""term"":{""{{field_1}}"":""{{value_1}}""}}},""params"":{""field_1"":'DATA.RECVDATE',""value_1"":'05/10/2022'"
55,Give me all the patients whose information are received on 02/02/2022. ,1100055,"POST_scripts/1{""script"":{""lang"":""mustache"",""source"":{""track_total_hits"":""true"",""query"":{""term"":{""{{field_1}}"":""{{value_1}}""}}},""params"":{""field_1"":'DATA.RECVDATE',""value_1"":'02/02/2022'"
56,Give me all the patients whose information are received on 05/01/2022. ,1100056,"POST_scripts/1{""script"":{""lang"":""mustache"",""source"":{""track_total_hits"":""true"",""query"":{""term"":{""{{field_1}}"":""{{value_1}}""}}},""params"":{""field_1"":'DATA.RECVDATE',""value_1"":'05/01/2022'"
57,Give me all the patients whose information are received on 05/08/2022. ,1100057,"POST_scripts/1{""script"":{""lang"":""mustache"",""source"":{""track_total_hits"":""true"",""query"":{""term"":{""{{field_1}}"":""{{value_1}}""}}},""params"":{""field_1"":'DATA.RECVDATE',""value_1"":'05/08/2022'"
58,Give me all the patients whose information are received on 01/28/2022. ,1100058,"POST_scripts/1{""script"":{""lang"":""mustache"",""source"":{""track_total_hits"":""true"",""query"":{""term"":{""{{field_1}}"":""{{value_1}}""}}},""params"":{""field_1"":'DATA.RECVDATE',""value_1"":'01/28/2022'"
59,Give me all the patients whose information are received on 01/21/2022. ,1100059,"POST_scripts/1{""script"":{""lang"":""mustache"",""source"":{""track_total_hits"":""true"",""query"":{""term"":{""{{field_1}}"":""{{value_1}}""}}},""params"":{""field_1"":'DATA.RECVDATE',""value_1"":'01/21/2022'"
60,Give me all the patients whose information are received on 04/15/2022. ,1100060,"POST_scripts/1{""script"":{""lang"":""mustache"",""source"":{""track_total_hits"":""true"",""query"":{""term"":{""{{field_1}}"":""{{value_1}}""}}},""params"":{""field_1"":'DATA.RECVDATE',""value_1"":'04/15/2022'"
61,Give me all the patients whose information are received on 04/07/2022. ,1100061,"POST_scripts/1{""script"":{""lang"":""mustache"",""source"":{""track_total_hits"":""true"",""query"":{""term"":{""{{field_1}}"":""{{value_1}}""}}},""params"":{""field_1"":'DATA.RECVDATE',""value_1"":'04/07/2022'"
62,Give me all the patients whose information are received on 01/02/2022. ,1100062,"POST_scripts/1{""script"":{""lang"":""mustache"",""source"":{""track_total_hits"":""true"",""query"":{""term"":{""{{field_1}}"":""{{value_1}}""}}},""params"":{""field_1"":'DATA.RECVDATE',""value_1"":'01/02/2022'"
63,Give me all the patients whose information are received on 05/13/2022. ,1100063,"POST_scripts/1{""script"":{""lang"":""mustache"",""source"":{""track_total_hits"":""true"",""query"":{""term"":{""{{field_1}}"":""{{value_1}}""}}},""params"":{""field_1"":'DATA.RECVDATE',""value_1"":'05/13/2022'"
64,Give me all the patients whose information are received on 04/25/2022. ,1100064,"POST_scripts/1{""script"":{""lang"":""mustache"",""source"":{""track_total_hits"":""true"",""query"":{""term"":{""{{field_1}}"":""{{value_1}}""}}},""params"":{""field_1"":'DATA.RECVDATE',""value_1"":'04/25/2022'"
65,Give me all the patients whose information are received on 04/29/2022. ,1100065,"POST_scripts/1{""script"":{""lang"":""mustache"",""source"":{""track_total_hits"":""true"",""query"":{""term"":{""{{field_1}}"":""{{value_1}}""}}},""params"":{""field_1"":'DATA.RECVDATE',""value_1"":'04/29/2022'"
66,Give me all the patients whose information are received on 05/16/2022. ,1100066,"POST_scripts/1{""script"":{""lang"":""mustache"",""source"":{""track_total_hits"":""true"",""query"":{""term"":{""{{field_1}}"":""{{value_1}}""}}},""params"":{""field_1"":'DATA.RECVDATE',""value_1"":'05/16/2022'"
67,Give me all the patients whose information are received on 04/23/2022. ,1100067,"POST_scripts/1{""script"":{""lang"":""mustache"",""source"":{""track_total_hits"":""true"",""query"":{""term"":{""{{field_1}}"":""{{value_1}}""}}},""params"":{""field_1"":'DATA.RECVDATE',""value_1"":'04/23/2022'"
68,Give me all the patients whose information are received on 03/21/2022. ,1100068,"POST_scripts/1{""script"":{""lang"":""mustache"",""source"":{""track_total_hits"":""true"",""query"":{""term"":{""{{field_1}}"":""{{value_1}}""}}},""params"":{""field_1"":'DATA.RECVDATE',""value_1"":'03/21/2022'"
69,Give me all the patients whose information are received on 04/16/2022. ,1100069,"POST_scripts/1{""script"":{""lang"":""mustache"",""source"":{""track_total_hits"":""true"",""query"":{""term"":{""{{field_1}}"":""{{value_1}}""}}},""params"":{""field_1"":'DATA.RECVDATE',""value_1"":'04/16/2022'"
70,Give me all the patients whose information are received on 02/26/2022. ,1100070,"POST_scripts/1{""script"":{""lang"":""mustache"",""source"":{""track_total_hits"":""true"",""query"":{""term"":{""{{field_1}}"":""{{value_1}}""}}},""params"":{""field_1"":'DATA.RECVDATE',""value_1"":'02/26/2022'"
71,Give me all the patients whose information are received on 03/15/2022. ,1100071,"POST_scripts/1{""script"":{""lang"":""mustache"",""source"":{""track_total_hits"":""true"",""query"":{""term"":{""{{field_1}}"":""{{value_1}}""}}},""params"":{""field_1"":'DATA.RECVDATE',""value_1"":'03/15/2022'"
72,Give me all the patients whose information are received on 02/19/2022. ,1100072,"POST_scripts/1{""script"":{""lang"":""mustache"",""source"":{""track_total_hits"":""true"",""query"":{""term"":{""{{field_1}}"":""{{value_1}}""}}},""params"":{""field_1"":'DATA.RECVDATE',""value_1"":'02/19/2022'"
73,Give me all the patients whose information are received on 03/26/2022. ,1100073,"POST_scripts/1{""script"":{""lang"":""mustache"",""source"":{""track_total_hits"":""true"",""query"":{""term"":{""{{field_1}}"":""{{value_1}}""}}},""params"":{""field_1"":'DATA.RECVDATE',""value_1"":'03/26/2022'"
74,Give me all the patients whose information are received on 02/24/2022. ,1100074,"POST_scripts/1{""script"":{""lang"":""mustache"",""source"":{""track_total_hits"":""true"",""query"":{""term"":{""{{field_1}}"":""{{value_1}}""}}},""params"":{""field_1"":'DATA.RECVDATE',""value_1"":'02/24/2022'"
75,Give me all the patients whose information are received on 05/20/2022. ,1100075,"POST_scripts/1{""script"":{""lang"":""mustache"",""source"":{""track_total_hits"":""true"",""query"":{""term"":{""{{field_1}}"":""{{value_1}}""}}},""params"":{""field_1"":'DATA.RECVDATE',""value_1"":'05/20/2022'"
76,Give me all the patients whose information are received on 01/13/2022. ,1100076,"POST_scripts/1{""script"":{""lang"":""mustache"",""source"":{""track_total_hits"":""true"",""query"":{""term"":{""{{field_1}}"":""{{value_1}}""}}},""params"":{""field_1"":'DATA.RECVDATE',""value_1"":'01/13/2022'"
77,Give me all the patients whose information are received on 02/23/2022. ,1100077,"POST_scripts/1{""script"":{""lang"":""mustache"",""source"":{""track_total_hits"":""true"",""query"":{""term"":{""{{field_1}}"":""{{value_1}}""}}},""params"":{""field_1"":'DATA.RECVDATE',""value_1"":'02/23/2022'"
78,Give me all the patients whose information are received on 01/30/2022. ,1100078,"POST_scripts/1{""script"":{""lang"":""mustache"",""source"":{""track_total_hits"":""true"",""query"":{""term"":{""{{field_1}}"":""{{value_1}}""}}},""params"":{""field_1"":'DATA.RECVDATE',""value_1"":'01/30/2022'"
79,Give me all the patients whose information are received on 02/18/2022. ,1100079,"POST_scripts/1{""script"":{""lang"":""mustache"",""source"":{""track_total_hits"":""true"",""query"":{""term"":{""{{field_1}}"":""{{value_1}}""}}},""params"":{""field_1"":'DATA.RECVDATE',""value_1"":'02/18/2022'"
80,Give me all the patients whose information are received on 05/15/2022. ,1100080,"POST_scripts/1{""script"":{""lang"":""mustache"",""source"":{""track_total_hits"":""true"",""query"":{""term"":{""{{field_1}}"":""{{value_1}}""}}},""params"":{""field_1"":'DATA.RECVDATE',""value_1"":'05/15/2022'"
81,Give me all the patients whose information are received on 04/19/2022. ,1100081,"POST_scripts/1{""script"":{""lang"":""mustache"",""source"":{""track_total_hits"":""true"",""query"":{""term"":{""{{field_1}}"":""{{value_1}}""}}},""params"":{""field_1"":'DATA.RECVDATE',""value_1"":'04/19/2022'"
82,Give me all the patients whose information are received on 05/02/2022. ,1100082,"POST_scripts/1{""script"":{""lang"":""mustache"",""source"":{""track_total_hits"":""true"",""query"":{""term"":{""{{field_1}}"":""{{value_1}}""}}},""params"":{""field_1"":'DATA.RECVDATE',""value_1"":'05/02/2022'"
83,Give me all the patients whose information are received on 02/17/2022. ,1100083,"POST_scripts/1{""script"":{""lang"":""mustache"",""source"":{""track_total_hits"":""true"",""query"":{""term"":{""{{field_1}}"":""{{value_1}}""}}},""params"":{""field_1"":'DATA.RECVDATE',""value_1"":'02/17/2022'"
84,Give me all the patients whose information are received on 04/17/2022. ,1100084,"POST_scripts/1{""script"":{""lang"":""mustache"",""source"":{""track_total_hits"":""true"",""query"":{""term"":{""{{field_1}}"":""{{value_1}}""}}},""params"":{""field_1"":'DATA.RECVDATE',""value_1"":'04/17/2022'"
85,Give me all the patients whose information are received on 01/10/2022. ,1100085,"POST_scripts/1{""script"":{""lang"":""mustache"",""source"":{""track_total_hits"":""true"",""query"":{""term"":{""{{field_1}}"":""{{value_1}}""}}},""params"":{""field_1"":'DATA.RECVDATE',""value_1"":'01/10/2022'"
86,Give me all the patients whose information are received on 02/01/2022. ,1100086,"POST_scripts/1{""script"":{""lang"":""mustache"",""source"":{""track_total_hits"":""true"",""query"":{""term"":{""{{field_1}}"":""{{value_1}}""}}},""params"":{""field_1"":'DATA.RECVDATE',""value_1"":'02/01/2022'"
87,Give me all the patients whose information are received on 03/04/2022. ,1100087,"POST_scripts/1{""script"":{""lang"":""mustache"",""source"":{""track_total_hits"":""true"",""query"":{""term"":{""{{field_1}}"":""{{value_1}}""}}},""params"":{""field_1"":'DATA.RECVDATE',""value_1"":'03/04/2022'"
88,Give me all the patients whose information are received on 03/19/2022. ,1100088,"POST_scripts/1{""script"":{""lang"":""mustache"",""source"":{""track_total_hits"":""true"",""query"":{""term"":{""{{field_1}}"":""{{value_1}}""}}},""params"":{""field_1"":'DATA.RECVDATE',""value_1"":'03/19/2022'"
89,Give me all the patients whose information are received on 05/24/2022. ,1100089,"POST_scripts/1{""script"":{""lang"":""mustache"",""source"":{""track_total_hits"":""true"",""query"":{""term"":{""{{field_1}}"":""{{value_1}}""}}},""params"":{""field_1"":'DATA.RECVDATE',""value_1"":'05/24/2022'"
90,Give me all the patients whose information are received on 04/11/2022. ,1100090,"POST_scripts/1{""script"":{""lang"":""mustache"",""source"":{""track_total_hits"":""true"",""query"":{""term"":{""{{field_1}}"":""{{value_1}}""}}},""params"":{""field_1"":'DATA.RECVDATE',""value_1"":'04/11/2022'"
91,Give me all the patients whose information are received on 05/12/2022. ,1100091,"POST_scripts/1{""script"":{""lang"":""mustache"",""source"":{""track_total_hits"":""true"",""query"":{""term"":{""{{field_1}}"":""{{value_1}}""}}},""params"":{""field_1"":'DATA.RECVDATE',""value_1"":'05/12/2022'"
92,Give me all the patients whose information are received on 01/17/2022. ,1100092,"POST_scripts/1{""script"":{""lang"":""mustache"",""source"":{""track_total_hits"":""true"",""query"":{""term"":{""{{field_1}}"":""{{value_1}}""}}},""params"":{""field_1"":'DATA.RECVDATE',""value_1"":'01/17/2022'"
93,Give me all the patients whose information are received on 03/13/2022. ,1100093,"POST_scripts/1{""script"":{""lang"":""mustache"",""source"":{""track_total_hits"":""true"",""query"":{""term"":{""{{field_1}}"":""{{value_1}}""}}},""params"":{""field_1"":'DATA.RECVDATE',""value_1"":'03/13/2022'"
94,Give me all the patients whose information are received on 05/06/2022. ,1100094,"POST_scripts/1{""script"":{""lang"":""mustache"",""source"":{""track_total_hits"":""true"",""query"":{""term"":{""{{field_1}}"":""{{value_1}}""}}},""params"":{""field_1"":'DATA.RECVDATE',""value_1"":'05/06/2022'"
95,Give me all the patients whose information are received on 02/15/2022. ,1100095,"POST_scripts/1{""script"":{""lang"":""mustache"",""source"":{""track_total_hits"":""true"",""query"":{""term"":{""{{field_1}}"":""{{value_1}}""}}},""params"":{""field_1"":'DATA.RECVDATE',""value_1"":'02/15/2022'"
96,Give me all the patients whose information are received on 03/22/2022. ,1100096,"POST_scripts/1{""script"":{""lang"":""mustache"",""source"":{""track_total_hits"":""true"",""query"":{""term"":{""{{field_1}}"":""{{value_1}}""}}},""params"":{""field_1"":'DATA.RECVDATE',""value_1"":'03/22/2022'"
