,Questions
3029, How many patients were hospitalized for 42.0 days.
12996, which  Pseudomonas infection is the most common after vaccine?
9559, How many patients got vaccine manufactured by 885080?
12634, List all records that had Mechanical ventilation associated with the vaccination. 
3136,Give me all the patients whose date of vaccination is 06/25/2021. 
266, List all the record received on 03/28/2022. 
2375,Give me all the patients who died on 12/01/2020. 
2130, How many patients have Decubitus ulcer after vaccination? 
41,Give me all the patients whose information are received on 01/18/2022. 
12981, which  Oesophageal variceal ligation is the most common after vaccine?
9435, Give me all the patients who got USPFIZER INC202200123925 vaccine. 
4596, What is the number of cases where the interval from the vaccination date to the onset date is 486.0 days? 
3941, Find all the records where the adverse event started on 03/23/2022. 
1020, List all patients who are 96.0 years old. 
221, List all the record received on 03/22/2022. 
12837, Is there any person have Penile size reduced after vaccine? 
10765, Find all the cases where the vaccine recipients got vaccinated in 02/23/2021. 
999, Return all 106.0 years old vaccine recipients. 
702, Give me the IN which has the most numbers of records
2661, How many patients passed away on 10/24/2021. 
3336, Give me all the patients who got vaccines on 03/30/2020. 
523, Give me all the patients who comes from GU. 
5467, List all the vaccine recipients who took isosorbide at the time of the vaccination. 
517,Give me all the patients who is from MH. 
6141, Return all the cases where the vaccine recipients was reported transplant patient. 
9400, Give me all the patients who got USPFIZER INC202200072821 vaccine. 
11904,Give me all the patients who got TYPHOID VI POLYSACCHARIDE (NO BRAND NAME) vaccine and INFLUENZA (SEASONAL) (FLUBLOK) vaccine. 
8154, Find all records who received a vaccine before on 2/13/2021. 
6452, What is the number of vaccine recipients that had pulmonary when they took the shot? 
11723, What is the number of the cases where the vaccine recipient had HPV (GARDASIL 9) vaccine. 
6822, Search all the patients who are dignosed of memory loss. 
11882,Give me all the patients who got INFLUENZA (SEASONAL) (FLUENZ TETRA) vaccine and TETANUS TOXOID (NO BRAND NAME) vaccine. 
7961,Give me all the patients who priviously got vaccinated on 04/10/2021. 
4179, What is the number of cases where onset date of adverse event symptom is 01/01/2020. 
11016, How many people have been injected with not known
5808, Is there any patients who was taking enalpril?
5197, How many patients has a real time pcr after vaccination.
8354,"Give me all the patients who had POLIO VIRUS, INACT. vaccine before. "
9536, How many patients got vaccine manufactured by USPFIZER INC2021334740?
7937,Give me all the patients who priviously got vaccinated on 11/20/2021. 
7773, What is the number of vaccine recipients that had an allergic to sulfite sensitivity?Which is The most common red apples for patients?
11134, How many people have been injected from ID 
1506, Provide me all the cases completed the form on 01/19/2022. 
49,Give me all the patients whose information are received on 03/11/2022. 
11644, How many people received DTAP (DAPTACEL) shot. 
11205,How many people got vaccine in MO and GM. 
9756,Give me all the patients who were recorded on 06/10/2021. 
5798, Is there any patients who was taking quetiapine?
425, Find the day 05/14/2022 when the most people choose to submit records.
1649,Give me all the patients who reported Retroperitoneal neoplasm after the vaccination. 
9734,Give me all the patients who were recorded on 02/03/2022. 
10610,Give me all the patients who got vaccine from fe5934. 
12606, List all records that had Motor dysfunction associated with the vaccination. 
12631, List all records that had Tracheostomy malfunction associated with the vaccination. 
6414, What is the number of vaccine recipients that had office visit when they took the shot? 
7377, Show me all the patients who has an allergic to pilocarpine. 
11227,How many people got vaccine in GM and RL. 
11973, List all the patients who got TDAP (NO BRAND NAME) vaccine and DTAP + IPV (UNKNOWN) vaccine. 
968, Return all 15.0 years old vaccine recipients. 
3931, Find all the records where the adverse event started on 12/04/2015. 
243, List all the record received on 05/04/2022. 
12201, How many people received HEP B (HEPLISAV-B) vaccine and VACCINE NOT SPECIFIED (FOREIGN) vaccine. 
9949, Return all cases recorded on 04/16/2022. 
3865, Give me all the patients whose adverse event symptoms start from 04/04/2021. 
2391,Give me all the patients who died on 01/10/2019. 
75,Give me all the patients whose information are received on 05/20/2022. 
12164, How many people received ZOSTER LIVE (ZOSTAVAX) vaccine and TD ADSORBED (TDVAX) vaccine. 
5538, Find the number of cases where the vaccine recipients had cytomel at the time of vaccination. 
11848,Give me all the patients who got MENINGOCOCCAL B (TRUMENBA) vaccine and ZOSTER (SHINGRIX) vaccine. 
11309, Find all cases where people vaccinated in RA and AR. 
1453, Give me all the patients who completed their report on 04/10/2021. 
5150, How many patients has a glucose levels after vaccination.
12032, List all the patients who got INFLUENZA (SEASONAL) (FLUBLOK) vaccine and INFLUENZA (SEASONAL) (FLUZONE HIGH-DOSE QUADRIVALENT) vaccine. 
324, How many patients' record are received on 02/15/2022 
12295,Give me all the patients who have Interleukin level increased after vaccine . 
10333, How many vaccine recipients got PNC13? which YF is the most popular for people?
5944,Give me all the patients who have health st. 
3815, Give me all the patients whose adverse event symptoms start from 12/29/2020. 
6249, How many vaccine recipients are dignosed of copd at the time of vaccination? 
10795, List all the records where they took their shot in 1816022. 
5227, Find all the records where the vaccine adminiered facility code is UNK. 
12055, List all the patients who got INFLUENZA (H1N1) (H1N1 (MONOVALENT) (UNKNOWN)) vaccine and INFLUENZA (SEASONAL) (NO BRAND NAME) vaccine. 
6013, List all the patients who are dignosed of arthritis. 
4686, How many patients whose interval from the vaccination date to the onset date is 43830.0 days?
4997, Find the number of cases that the vaccine recipients had hemoglobin a1c test. 
8099, Find all records who received a vaccine before on 4/25/2021. 
2055, How many patients have Pulse pressure increased after vaccination? 
660, How many patients are from NH? 
3549, How many patitents who got vaccines on 09/24/2021?
1159, How many patients are 21.0 years old.
9479, Give me all the patients who got USPFIZER INC202200165324 vaccine. 
10394,Give me all the patients who got vaccine fromTEVA PHARMACEUTICALS. 
9419, Give me all the patients who got USPFIZER INC202200304821 vaccine. 
7879,Give me all the patients who priviously got vaccinated on 05/26/21. 
7068, How many patients are dignosed of chiari malformation? 
7404, Show me all the patients who has an allergic to milk. 
2479, Find all vaccine recipients who died on 09/15/2021.  
7441, Show me all the patients who has an allergic to meropenem. 
3444, How many patients whose date of vaccination is 05/10/2021? 
2405,Give me all the patients who died on 04/25/2022. 
143, Find all cases that receved on 01/31/2022. 
10171, How many people has got RAB? 
9813, How many people recorded on 03/28/2022. 
7726, What is the number of vaccine recipients that had an allergic to erythromycinnausea?Which is The most common food sensitivity for patients?
3645, How many patitents who got vaccines on 01/01/1949?
11999, List all the patients who got DTAP + HIB (NO BRAND NAME) vaccine and HIB (ACTHIB) vaccine. 
4342, List all the records that the interval from the vaccination date to the onset date is 28827.0 days. 
9745,Give me all the patients who were recorded on 03/19/2022. 
4385, List all the records that the interval from the vaccination date to the onset date is 291.0 days. 
773,Give me all the patients who is 89.0 years old. 
1740, Give me all the patients who have Immune-mediated encephalitis after the vaccination. 
12336,Give me all the patients who have Cellulitis after vaccine . 
313, How many patients' record are received on 01/29/2022 
2626, How many patients passed away on 06/07/2021. 
8590,Give me all the patients who got TETANUS TOXOID and TD ADSORBED before. 
6065, List all the patients who are dignosed of no10. 
7564, Find any cases where the vaccine recipients were allergic to pvc. 
10203, Return all the cases where the vaccine recipient got MEN. 
4733, How many patients whose interval from the vaccination date to the onset date is 628.0 days?
7487, Find any cases where the vaccine recipients were allergic to deletion reason. 
10243, Return all the cases where the vaccine recipient got FLUX(H1N1). 
9524, How many patients got vaccine manufactured by USSA2022SA078676?
10503,Give me all the patients who got vaccine from L016284. 
12951, which  Decreased activity is the most common after vaccine?
5344,GIve me all the patients who was taking aspirin. 
12334,Give me all the patients who have Fall after vaccine . 
2156, which  Fungal pharyngitis is the most common symptom after  vaccination
4333,Give me all the patients whose interval from the vaccination date to the onset date is 36534.0 days. 
3771,Give me all the patients whose onset date of adverse event symptoms is 06/08/2021. 
9519, How many patients got vaccine manufactured by USPFIZER INC2021449232?
12297,Give me all the patients who have Immunophenotyping after vaccine . 
2512, Find all vaccine recipients who died on 09/25/2021.  
7930,Give me all the patients who priviously got vaccinated on 5/7/21. 
2223, which  Synovial biopsy is the most common symptom after  vaccination
7633, How many patients are allergic to erythrocin? 
12040, List all the patients who got INFLUENZA (SEASONAL) (FLUZONE QUADRIVALENT) vaccine and INFLUENZA (SEASONAL) (FLUBLOK QUADRIVALENT) vaccine. 
2834,Give me all the patients who were hospitalized for 12.0 days. 
5790, Is there any patients who was taking latanoprost liquid eyedrop?
3315, Give me all the patients who got vaccines on 01/28/2022. 
8908, How many records had ZOSTER and ZOSTER LIVE before.
11728, What is the number of the cases where the vaccine recipient had MENINGOCOCCAL B (BEXSERO) vaccine. 
7922,Give me all the patients who priviously got vaccinated on 08/06/2021. 
4055, Find all the records where the adverse event started on 12/11/2021. 
4418, List all the records that the interval from the vaccination date to the onset date is 275.0 days. 
2525, Find all vaccine recipients who died on 10/01/2021.  
9597, How many patients got vaccine manufactured by USJNJFOC20220110022?
10063," On 12/15/2021, how many people have been recorded?"
2918, List all the vaccine recipients have hospitalized for 4.0 days. 
10895, List all the records where they took their shot in fj1614. 
4423, List all the records that the interval from the vaccination date to the onset date is 329.0 days. 
2382,Give me all the patients who died on 03/16/2021. 
115, Find all cases that receved on 01/19/2022. 
9712,Give me all the patients who were recorded on 02/11/2022. 
4995, Find the number of cases that the vaccine recipients had tuberculosis test test. 
9606, How many patients got vaccine manufactured by USPFIZER INC202101858584?
10352, How many vaccine recipients got DTAPIPV? which DTAPHEPBIP is the most popular for people?
1127, How many patients are 18.0 years old.
3404, How many patients whose date of vaccination is 04/06/2022? 
10738, Find all the cases where the vaccine recipients got vaccinated in P100371939. 
10524,Give me all the patients who got vaccine from 01082A. 
9229, What is the number of records that the vaccine recipient got USPFIZER INC202101857273 vaccine. 
1817, Give me all the patients who have Atelectasis after the vaccination. 
9075, Search for any cases where the vaccine recipient got vaccine manufactured by USPFIZER INC2021328980. 
5052, Find the number of cases that the vaccine recipients had gfr test. 
12554, How many people have Injection site irritation after vaccine? 
11209,How many people got vaccine in AR and GM. 
3277, Give me all the patients who got vaccines on 06/15/2021. 
10200, Return all the cases where the vaccine recipient got MENB. 
3924, Give me all the patients whose adverse event symptoms start from 12/23/1921. 
10807, List all the records where they took their shot in 043. 
7815, What is the number of vaccine recipients that had an allergic to lisinopril lidocaine?Which is The most common grass for patients?
3156,Give me all the patients whose date of vaccination is 03/22/2022. 
10578,Give me all the patients who got vaccine from 066h21a 1/2 dos. 
10006," On 11/04/2021, how many people have been recorded?"
2824,Give me all the patients who were hospitalized for 50.0 days. 
564, Give me all the patients who comes from OK. 
1577,Give me all the patients who reported Metabolic alkalosis after the vaccination. 
8228, How many patients got a shot on 2/11/21?
10017," On 03/22/2022, how many people have been recorded?"
5355,GIve me all the patients who was taking vitamin b vitamin c vitamin d. 
749,Give me all the patients who is 88.0 years old. 
9860, How many people recorded on 03/13/2021. 
8720, List all the recipients who took RUBELLA and MENINGOCOCCAL before. 
7029, How many patients are dignosed of meningitis herpes? 
8857, How many records had RUBELLA and BCG before.
3160,Give me all the patients whose date of vaccination is 09/29/1921. 
7846, What is the number of vaccine recipients that had an allergic to constipation jardiance?Which is The most common antibiotics for patients?
10292, How many vaccine recipients got TTOX? which PNC15 is the most popular for people?
5144, How many patients has a ct scan head after vaccination.
12882, Is there any person have Oesophageal perforation after vaccine? 
10828, List all the records where they took their shot in 0929089-09807. 
3298, Give me all the patients who got vaccines on 12/23/2020. 
11460,Give me all the patients who got INFLUENZA (SEASONAL) (FLUZONE QUADRIVALENT) vaccine. 
7572, Find any cases where the vaccine recipients were allergic to knfa. 
11286, Find all cases where people vaccinated in OT and RA. 
5169, How many patients has a bd veritor after vaccination.
3602, How many patitents who got vaccines on 01/01/2005?
12969, which  Polymerase chain reaction positive is the most common after vaccine?
948, Return all 0.17 years old vaccine recipients. 
11315, Find all cases where people vaccinated in AR and LA. 
9038,Give me all the patients who got vaccine manufactured by USPFIZER INC2021351932. 
2952, What is the numer of records that the vaccine recipient was hospitalized for 45.0 days. 
7503, Find any cases where the vaccine recipients were allergic to honey dew. 
1098, List all patients who are 29.0 years old. 
12560, How many people have Ear irrigation after vaccine? 
1195, How many patients are 70.0 years old.
8664, List all the recipients who took BCG and MEASLES before. 
2564, How many patients passed away on 07/15/2021. 
4546, What is the number of cases where the interval from the vaccination date to the onset date is 28.0 days? 
2836,Give me all the patients who were hospitalized for 52.0 days. 
3033, How many patients were hospitalized for 59.0 days.
5010, Find the number of cases that the vaccine recipients had antenatal sonogram test. 
92,Give me all the patients whose information are received on 01/17/2022. 
3560, How many patitents who got vaccines on 03/01/2022?
9696,Give me all the patients who were recorded on 01/14/2021. 
6342, How many vaccine recipients are dignosed of unknown origin at the time of vaccination? 
3296, Give me all the patients who got vaccines on 11/18/2019. 
3113,Give me all the patients whose date of vaccination is 08/12/2020. 
9475, Give me all the patients who got USPFIZER INC2021504356 vaccine. 
4050, Find all the records where the adverse event started on 01/23/2020. 
8626, List all the recipients who took DT ADSORBED and COVID19 before. 
4397, List all the records that the interval from the vaccination date to the onset date is 15.0 days. 
1361, Return all records whose cage year is 17.0.
4473, List all the records that the interval from the vaccination date to the onset date is 273.0 days. 
7542, Find any cases where the vaccine recipients were allergic to jackfruit. 
6408, What is the number of vaccine recipients that had new problem when they took the shot? 
6804, Search all the patients who are dignosed of liver disorder. 
7248,Give me all the patients who was allergic to z-pac 
10664, Find all the cases where the vaccine recipients got vaccinated in 065K21A(MVU12). 
12431,Give me all the patients who have Hepatic vascular disorder after vaccine . 
6860, Search all the patients who are dignosed of chiari malformation. 
3557, How many patitents who got vaccines on 02/04/2020?
7313,Give me all the patients who was allergic to per 
1794, Give me all the patients who have Pyelonephritis acute after the vaccination. 
11355, Provide all records that took vaccination in AR and MO. 
11289, Find all cases where people vaccinated in OT and UN. 
12345,Give me all the patients who have Eye inflammation after vaccine . 
7113, Which is the most common pulmonary disorder for patients.
4260,Give me all the patients whose interval from the vaccination date to the onset date is 421.0 days. 
5599, Find the number of cases where the vaccine recipients had xiosil at the time of vaccination. 
11578," Search any vaccine recipients who had POLIO VIRUS, INACT. (NO BRAND NAME) shot.  "
8994,Give me all the patients who got vaccine manufactured by USPFIZER INC2021320765. 
6773, Search all the patients who are dignosed of chronic uti. 
7918,Give me all the patients who priviously got vaccinated on 4/19/2021. 
5231, Find all the records where the vaccine adminiered facility code is PUB. 
10215, Return all the cases where the vaccine recipient got RV1. 
11901,"Give me all the patients who got POLIO VIRUS, INACT. (NO BRAND NAME) vaccine and HPV (GARDASIL) vaccine. "
8371, List all records that took DTP prior to the current vaccine. 
842, Give me all the patients who is 67.0 years old. 
12540, How many people have Mania after vaccine? 
9552, How many patients got vaccine manufactured by USPFIZER INC202200257961?
4653, How many patients whose interval from the vaccination date to the onset date is 62.0 days?
2426, Find all vaccine recipients who died on 09/23/2021.  
9987," On 02/22/2022, how many people have been recorded?"
4539, What is the number of cases where the interval from the vaccination date to the onset date is 430.0 days? 
9361, Give me all the patients who got USPFIZER INC2021607389 vaccine. 
2518, Find all vaccine recipients who died on 03/11/2022.  
5630, How many patients was taking buffered c? 
1509, Provide me all the cases completed the form on 03/16/2022. 
8048, List all the records who was vaccinated on 12/20/2013. 
2792, How many patients died on 10/24/2021.
7543, Find any cases where the vaccine recipients were allergic to hives. 
330, How many patients' record are received on 04/10/2022 
7064, How many patients are dignosed of back pain? 
7480, Find any cases where the vaccine recipients were allergic to oxycodone codeine morphine. 
7782, What is the number of vaccine recipients that had an allergic to nut allergy?Which is The most common topicort for patients?
5371,GIve me all the patients who was taking prolia (6mos) coq10. 
11362, Provide all records that took vaccination in AR and NS. 
8032, List all the records who was vaccinated on 4/14/21. 
4500, What is the number of cases where the interval from the vaccination date to the onset date is 414.0 days? 
7621, How many patients are allergic to ezetimibe? 
12172, How many people received VACCINE NOT SPECIFIED (NO BRAND NAME) vaccine and TDAP (ADACEL) vaccine. 
12689, List all records that had Skin sensitisation associated with the vaccination. 
2061, How many patients have Ketosis after vaccination? 
2131, How many patients have Urine protein/creatinine ratio normal after vaccination? 
9869, How many people recorded on 04/25/2021. 
542, Give me all the patients who comes from AZ. 
2320,Give me all the patients who died on 01/08/2022. 
6076, List all the patients who are dignosed of obgyn. 
4478, What is the number of cases where the interval from the vaccination date to the onset date is 149.0 days? 
6856, Search all the patients who are dignosed of squamous cell carcinoma. 
10986, How many people have been injected with FL3L98
6921, Find all the cases where the vaccine recipient reported smoke sensitivity. 
12545, How many people have Coeliac artery stenosis after vaccine? 
1010, Return all 11.0 years old vaccine recipients. 
466,Give me all the patients who is from ME. 
3386, How many patients whose date of vaccination is 02/03/2021? 
1204, How many patients are 47.0 years old.
3695,Give me all the patients whose onset date of adverse event symptoms is 11/04/1921. 
10013," On 12/21/2021, how many people have been recorded?"
10679, Find all the cases where the vaccine recipients got vaccinated in ER06207. 
1676,Give me all the patients who reported Peripheral artery stent insertion after the vaccination. 
4436, List all the records that the interval from the vaccination date to the onset date is 360.0 days. 
7523, Find any cases where the vaccine recipients were allergic to grape juice. 
2036, How many patients have Lip discolouration after vaccination? 
3010, How many patients were hospitalized for 17.0 days.
7049, How many patients are dignosed of pertussis? 
7780, What is the number of vaccine recipients that had an allergic to glutaronitrile?Which is The most common oxybutynin for patients?
3526, How many patitents who got vaccines on 10/31/2011?
760,Give me all the patients who is 91.0 years old. 
9557, How many patients got vaccine manufactured by USJNJFOC20220432907?
3918, Give me all the patients whose adverse event symptoms start from 02/09/2021. 
3170,Give me all the patients whose date of vaccination is 10/06/2011. 
10595,Give me all the patients who got vaccine from FK9694. 
1628,Give me all the patients who reported Therapy change after the vaccination. 
3749,Give me all the patients whose onset date of adverse event symptoms is 12/16/2021. 
9013,Give me all the patients who got vaccine manufactured by US0095075132203USA010686. 
5139, How many patients has a triglycerides after vaccination.
3563, How many patitents who got vaccines on 09/12/2016?
9132, Search for any cases where the vaccine recipient got vaccine manufactured by US0095075132204USA006498. 
4419, List all the records that the interval from the vaccination date to the onset date is 108.0 days. 
9412, Give me all the patients who got USJNJFOC20220110175 vaccine. 
4689, How many patients whose interval from the vaccination date to the onset date is 1503.0 days?
10058," On 01/16/2022, how many people have been recorded?"
9382, Give me all the patients who got USPFIZER INC202101064027 vaccine. 
536, Give me all the patients who comes from PA. 
8077, List all the records who was vaccinated on 03/09/2021. 
9214, What is the number of records that the vaccine recipient got USPFIZER INC202101815402 vaccine. 
7833, What is the number of vaccine recipients that had an allergic to beta?Which is The most common prunes for patients?
738,Give me all the patients who is 80.0 years old. 
8261, How many patients got a shot on 02/13/2021?
8438, Find all records who got IPV shot before. 
8226, How many patients got a shot on 3/19/21?
8479,Give me all the patients who got MENINGOCOCCAL CONJUGATE and TETANUS TOXOID before. 
2612, How many patients passed away on 10/21/2021. 
1990, Provide all the patients who have Nasal dryness. 
12774, Is there any person have Azoospermia after vaccine? 
12579, How many people have Vaccination site abscess after vaccine? 
4637, How many patients whose interval from the vaccination date to the onset date is 110.0 days?
9183, Search for any cases where the vaccine recipient got vaccine manufactured by USPFIZER INC2021344496. 
1030, List all patients who are 63.0 years old. 
4406, List all the records that the interval from the vaccination date to the onset date is 353.0 days. 
3027, How many patients were hospitalized for 45.0 days.
10315, How many vaccine recipients got TYP? which HIBV is the most popular for people?
812,Give me all the patients who is 34.0 years old. 
7203, Which is the most common latex allergy for patients.
8625, List all the recipients who took HPV and DTAP before. 
3091, How many patients recovered from the adverse event and labeled as U? 
12809, Is there any person have Dependence after vaccine? 
11621, How many people received DTAP + IPV + HIB (PENTACEL) shot. 
2049, How many patients have Perfusion brain scan normal after vaccination? 
5281,GIve me all the patients who was taking koselugo. 
1736, Give me all the patients who have Gait disturbance after the vaccination. 
4808,Give me all the patients who took test of covid test results. 
7123, Which is the most common palpitations for patients.
7767, What is the number of vaccine recipients that had an allergic to naproxin?Which is The most common generic for patients?
5086, Find the number of cases that the vaccine recipients had hemoglobin level test. 
7499, Find any cases where the vaccine recipients were allergic to amoxicillin trihydrate. 
7018, How many patients are dignosed of tachycardia? 
9700,Give me all the patients who were recorded on 03/04/2021. 
5512, Find the number of cases where the vaccine recipients had lo loesterin at the time of vaccination. 
12781, Is there any person have Anaemia macrocytic after vaccine? 
5023, Find the number of cases that the vaccine recipients had full cardiac and neurological workup test. 
5842, Is there any patients who was taking tizanidine?
9759,Give me all the patients who were recorded on 02/11/2021. 
8992,Give me all the patients who got vaccine manufactured by USSA2022SA051715. 
7556, Find any cases where the vaccine recipients were allergic to guanfacine. 
9492, Give me all the patients who got US0095075132201USA005784 vaccine. 
11542, Search any vaccine recipients who had DTAP + IPV (QUADRACEL) shot.  
5524, Find the number of cases where the vaccine recipients had levothyroxine 800 micrograms at the time of vaccination. 
1886, Provide all the patients who have Fournier's gangrene. 
7474, Show me all the patients who has an allergic to neosporin opthalamic. 
3074,Give me all the patients who recovered from the adverse event and labeled as Y. 
7791, What is the number of vaccine recipients that had an allergic to environmental?Which is The most common stomach distention for patients?
6060, List all the patients who are dignosed of diagnosed with strep throat on. 
1668,Give me all the patients who reported Psychiatric evaluation normal after the vaccination. 
709, Give me the VA which has the most numbers of records
12950, which  Congenital anomaly is the most common after vaccine?
1524, How many patients completed their reports on 02/27/2022.
11097, Return all the cases where the vaccine series is 7+. 
337, How many patients' record are received on 03/08/2022 
3261, Give me all the patients who got vaccines on 01/27/2020. 
7010, How many patients are dignosed of barrett? 
12127, How many people received DENGUE TETRAVALENT (DENGVAXIA) vaccine and HEP A (VAQTA) vaccine. 
456, Find the day 02/28/2022 when the most people choose to submit records.
5885,Give me all the patients who have high blood pressure spikes. 
8273, How many patients got a shot on 3/9/32021?
11675, How many people received ZOSTER LIVE (ZOSTAVAX) shot. 
4065, What is the number of cases where onset date of adverse event symptom is 02/20/2022. 
13020, which  Gene mutation identification test negative is the most common after vaccine?
10955, How many people have been injected with f m0698
4248,Give me all the patients whose interval from the vaccination date to the onset date is 486.0 days. 
8558,Give me all the patients who got MENINGOCOCCAL and MEASLES before. 
12218, which HEP A (HAVRIX) vaccine is the most popular for people 
1542, How many patients completed their reports on 02/23/2022.
7217, Which is the most common immune thrombocytopenia for patients.
7640, How many patients are allergic to erythromycinnausea? 
9877, Return all cases recorded on 04/03/2022. 
10147, How many people has got PNC15? 
6008, List all the patients who are dignosed of chemotherapy. 
630, How many patients are from PW? 
6406, What is the number of vaccine recipients that had january when they took the shot? 
8619, List all the recipients who took MEASLES and JAPANESE ENCEPHALITIS before. 
1461, Give me all the patients who completed their report on 01/26/2021. 
10607,Give me all the patients who got vaccine from PF2509. 
3647, How many patitents who got vaccines on 11/01/2008?
